content,annotation__label__-,annotation__notes,annotation__points__x,annotation__points__y,annotation__imageWidth,annotation__imageHeight,extras
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/80c7d616-ed44-4b15-9a35-0c60641cc5e4___5_job_interview_movie_scenes.jpg.jpeg,Face,,0.638956805,0.156862745,1920,878,null
,,,0.723716381,0.406417112,,,
,Face,,0.540342298,0.274509804,1920,878,
,,,0.622656887,0.456327986,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/a7417de6-d3d2-469f-872c-8445add6bbe4___5a0bcde9a83fcd89048b464e-750-375.jpg.jpeg,Face,,0.262666667,0.082666667,750,375,null
,,,0.397333333,0.389333333,,,
,Face,,0.498666667,0.050666667,750,375,
,,,0.597333333,0.261333333,,,
,Face,,0.677333333,0.112,750,375,
,,,0.790666667,0.368,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/c8cc5f4f-6684-443f-8f41-622e780fb59e___5b2d5ccb1a0000c504ce261f.jpeg,Face,,0.218851571,0.167202572,5040,3396,null
,,,0.309859155,0.308681672,,,
,Face,,0.660888407,0.207395498,5040,3396,
,,,0.736728061,0.340836013,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/4379b57c-a6e2-449a-8fb7-d58153da5b3b___5c8670b4917b6d7efe68c4f73042f96f.jpg.jpeg,Face,,0.306608884,0.134874759,1280,720,null
,,,0.364030336,0.242774566,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/584e1406-faf8-4613-9e9d-4e79620a2f44___6c9f5fafffdf652e5bbf672fd355e4de.jpg.jpeg,Face,,0.421746293,0.036243822,607,607,null
,,,0.535420099,0.18616145,,,
,Face,,0.477759473,0.594728171,607,607,
,,,0.635914333,0.744645799,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/14d82e7b-17b5-48ed-b755-777921f8fe58___07d4fe77dce1c871944c80c3f5596b5c--funny-movie-quotes-funny-movies.jpg.jpeg,Face,,0.394545455,0.138190955,550,398,null
,,,0.685454545,0.625628141,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/5dcb5230-c3d2-4f78-8c9a-37c35e852289___7c9e84ab6a1d7cd45032c69f612893bc--the-train-cousin.jpg.jpeg,Face,,0.497916667,0.208333333,480,360,null
,,,0.785416667,0.688888889,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/b4bf497b-42df-46ee-a039-34804a1992c1___7e09d2b84-1.jpg.jpeg,Face,,0.108333333,0.180555556,480,360,null
,,,0.372916667,0.408333333,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/98c726f1-44ef-42b7-99ef-ce14f4bfb6ff___08slid1.jpg.jpeg,Face,,0.79047619,0.199481865,525,386,null
,,,0.899047619,0.373056995,,,
,Face,,0.11047619,0.14507772,525,386,
,,,0.259047619,0.305699482,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/084f7266-e971-4057-b089-f396296bcc3c___10-coverfield-lane-275x350.jpg.jpeg,Face,,0.225454545,0.371428571,275,350,null
,,,0.494545455,0.797142857,,,
,Face,,0.421818182,0.522857143,275,350,
,,,0.752727273,0.862857143,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/e5389def-c898-4bd1-b7ca-bf0dfd226ef8___12familyseparation-sub-articleLarge.jpg.jpeg,Face,,0.063333333,0.115,600,400,null
,,,0.203333333,0.3425,,,
,Face,,0.216666667,0.3275,600,400,
,,,0.27,0.46,,,
,Face,,0.395,0.08,600,400,
,,,0.501666667,0.2625,,,
,Face,,0.875,0.1475,600,400,
,,,0.966666667,0.3475,,,
,Face,,0.74,0.545,600,400,
,,,0.868333333,0.69,,,
,Face,,0.651666667,0.22,600,400,
,,,0.696666667,0.305,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/df785cd1-117c-4e3d-a607-2690f8a1b397___0013.jpg.jpeg,Face,,0.49,0.202857143,600,350,null
,,,0.58,0.417142857,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/6baf0532-4198-4404-b262-d483b79ec960___13_Favorite_Memorable_Movie_Scenes_Misery.jpg.jpeg,Face,,0.335,0.153333333,400,300,null
,,,0.6825,0.753333333,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/66fab77d-5908-4760-a3d6-eb29886cf4ec___014a8f16-c5ce-43fc-bf88-a4950cac2394.jpg.jpeg,Face,,0.31,0.134285714,700,700,null
,,,0.427142857,0.245714286,,,
,Face,,0.5,0.645714286,700,700,
,,,0.632857143,0.795714286,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/4cd25046-dd87-464c-b619-fe8e8903c918___14-scenes-from-movies-and-tv-that-made-us-cry-in--2-28533-1513793846-10_dblbig.jpg.jpeg,Face,,0.28,0.026506024,625,415,null
,,,0.8096,0.951807229,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/4d8d9740-8905-49a1-bd07-03d508b2ff7f___16best-scenes14.jpg.jpeg,Face,,0.640298507,0.056300268,670,373,null
,,,0.817910448,0.386058981,,,
,Face,,0.326865672,0.206434316,670,373,
,,,0.474626866,0.485254692,,,
,Face,,0.108955224,0.260053619,670,373,
,,,0.244776119,0.55227882,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/130f1009-0a91-4c2f-b4ee-6b8453a6534a___17de631fb19a739677253ce30453c38d--famous-movie-scenes-iconic-movies.jpg.jpeg,Face,,0.3390625,0.163541667,640,960,null
,,,0.5375,0.323958333,,,
,Face,,0.5453125,0.205208333,640,960,
,,,0.6828125,0.333333333,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/e53eb4ea-9e38-4f94-a102-529a878b1fbd___18q0dngvi7ic2jpg.jpg.jpeg,Face,,0.3725,0.274626866,800,335,null
,,,0.5425,0.728358209,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/33017740-60d0-436a-9d05-2e59772ce471___19c50e32afad4fb81558d57296645da8.jpg.jpeg,Face,,0.146853147,0.329159213,715,1118,null
,,,0.265734266,0.421288014,,,
,Face,,0.411188811,0.288014311,715,1118,
,,,0.613986014,0.409660107,,,
,Face,,0.26993007,0.168157424,715,1118,
,,,0.430769231,0.28980322,,,
,Face,,0.73986014,0.298747764,715,1118,
,,,0.890909091,0.396243292,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/2c10a7a0-c3ea-4659-a457-df45dcfd998d___19-EOY-sex-scenes.nocrop.w710.h2147483647.jpg.jpeg,Face,,0.070422535,0.512676056,710,710,null
,,,0.24084507,0.728169014,,,
,Face,,0.554929577,0.445070423,710,710,
,,,0.75915493,0.791549296,,,
,Face,,0.778873239,0.487323944,710,710,
,,,0.970422535,0.777464789,,,
,Face,,0.538028169,0.123943662,710,710,
,,,0.761971831,0.423943662,,,
,Face,,0.74084507,0.149295775,710,710,
,,,0.901408451,0.402816901,,,
,Face,,0.170422535,0.284507042,710,710,
,,,0.350704225,0.569014085,,,
,Face,,0.345070423,0.381690141,710,710,
,,,0.456338028,0.552112676,,,
,Face,,0.108450704,0.101408451,710,710,
,,,0.212676056,0.233802817,,,
,Face,,0.23943662,0.104225352,710,710,
,,,0.408450704,0.222535211,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/1ec3874f-ed0e-42eb-8ec3-883913718979___22-reunification-migrant-families.w710.h473.jpg.jpeg,Face,,0.387323944,0.266384778,710,473,null
,,,0.484507042,0.494714588,,,
,Face,,0.518309859,0.010570825,710,473,
,,,0.635211268,0.221987315,,,
,Face,,0.305633803,0.238900634,710,473,
,,,0.352112676,0.315010571,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/6e816016-ef50-4bb9-8e09-0f4829d22c62___22-reunite-families.w710.h473.jpg.jpeg,Face,,0.161971831,0.162790698,710,473,null
,,,0.287323944,0.393234672,,,
,Face,,0.811267606,0.059196617,710,473,
,,,0.928169014,0.243128964,,,
,Face,,0.302816901,0.790697674,710,473,
,,,0.497183099,1,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/21f8a760-25a7-4bd3-9764-35e86605bf42___28b85ee949e00e97b8437542d375794e.jpg.jpeg,Face,,0.0875,0.044293015,640,587,null
,,,0.165625,0.206132879,,,
,Face,,0.19375,0.04088586,640,587,
,,,0.3421875,0.247018739,,,
,Face,,0.478125,0.032367973,640,587,
,,,0.7859375,0.371379898,,,
,Face,,0.759375,0.599659284,640,587,
,,,0.95,0.860306644,,,
,Face,,0.53125,0.531516184,640,587,
,,,0.6453125,0.659284497,,,
,Face,,0.0734375,0.526405451,640,587,
,,,0.19375,0.647359455,,,
,Face,,0.075,0.666098807,640,587,
,,,0.2421875,0.916524702,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/cc91c9fd-fc00-45d1-baac-5f0de38f8f52___34_American_Beauty.jpg.jpeg,Face,,0.763813651,0.219230769,1296,730,null
,,,0.85915493,0.425,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/c03e0ba4-cdad-4943-80fc-782de0f30e5a___57_dark_knight.jpg.jpeg,Face,,0.426388889,0.374653099,720,1081,null
,,,0.668055556,0.568917669,,,
,Face,,0.479166667,0.094357077,720,1081,
,,,0.693055556,0.266419981,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/b1f3e57f-3275-4206-942e-ae11a26aa375___065b36-20180619-activists-in-l-a-protest-separation-of-migrant-children-from-families.jpg.jpeg,Face,,0.747562297,0.060518732,2000,1504,null
,,,0.803900325,0.226224784,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/8d8861ba-d6e8-491d-b9f7-569d3144c87c___067efdb73cb3b14502617091325bcb78365827bfb4dc6a8eedae87269a810331.jpg.jpeg,Face,,0.21875,0.263681592,640,402,null
,,,0.3140625,0.599502488,,,
,Face,,0.5671875,0.390547264,640,402,
,,,0.6796875,0.651741294,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/40573453-e40f-4d61-af9a-15098ac03ca1___80smovies.png,Face,,0.699612403,0.361764706,516,340,null
,,,0.843023256,0.564705882,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/56c521d8-3647-47af-a1c6-a0950866e102___82-5.jpg.jpeg,Face,,0.317164179,0.288571429,804,350,null
,,,0.381840796,0.451428571,,,
,Face,,0.468905473,0.151428571,804,350,
,,,0.542288557,0.308571429,,,
,Face,,0.189054726,0.64,804,350,
,,,0.251243781,0.785714286,,,
,Face,,0.588308458,0.608571429,804,350,
,,,0.654228856,0.748571429,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/c0a01876-0580-4ee7-bc43-7be3940d1c59___94e2c06402f1b04c585fa9c1895d7967.png,Face,,0.17979798,0.029017857,495,448,null
,,,0.44040404,0.319196429,,,
,Face,,0.006060606,0.613839286,495,448,
,,,0.15959596,0.787946429,,,
,Face,,0.23030303,0.709821429,495,448,
,,,0.371717172,0.866071429,,,
,Face,,0.424242424,0.669642857,495,448,
,,,0.557575758,0.816964286,,,
,Face,,0.670707071,0.5625,495,448,
,,,0.82020202,0.772321429,,,
,Face,,0.888888889,0.555803571,495,448,
,,,1,0.741071429,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/73f9b5b7-0455-4033-bf52-6c5cc9b52ecd___825a26941df80f8fdb3569ed6c1ee999.jpg.jpeg,Face,,0.29516129,0.516314779,620,521,null
,,,0.429032258,0.737044146,,,
,Face,,0.769354839,0.689059501,620,521,
,,,0.9,0.848368522,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/14380875-99c2-4802-aa6f-3c9201d1901f___920x920.jpg.jpeg,Face,,0.160869565,0.110419907,920,643,null
,,,0.236956522,0.209953344,,,
,Face,,0.119565217,0.427682737,920,643,
,,,0.217391304,0.552099533,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/78656f85-dff5-471a-ba7b-4cc8f639c8a5___920x9200.jpg.jpeg,Face,,0.32826087,0.460912052,920,614,null
,,,0.380434783,0.560260586,,,
,Face,,0.618478261,0.418566775,920,614,
,,,0.685869565,0.524429967,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/b58e2281-b339-4d93-ba04-668147d3797e___0936f9262caeb92d83ff005216a9a6f0.png,Face,,0.4078125,0.058098592,640,1136,null
,,,0.640625,0.253521127,,,
,Face,,0.471875,0.403169014,640,1136,
,,,0.771875,0.56778169,,,
,Face,,0.0734375,0.387323944,640,1136,
,,,0.3453125,0.586267606,,,
,Face,,0.4953125,0.720070423,640,1136,
,,,0.73125,0.889084507,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/0e8edae8-89f7-4927-93c2-1a6d716f00aa___1000-families-project-dalia-al-mouaswas-800x600.jpg.jpeg,Face,,0.05375,0.268333333,800,600,null
,,,0.26625,0.493333333,,,
,Face,,0.33125,0.363333333,800,600,
,,,0.4575,0.493333333,,,
,Face,,0.45625,0.111666667,800,600,
,,,0.56375,0.241666667,,,
,Face,,0.58,0.353333333,800,600,
,,,0.71375,0.518333333,,,
,Face,,0.71,0.165,800,600,
,,,0.85625,0.338333333,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/7439982f-e43a-4618-8079-74d74b9e8db2___1000-families-project-lisa-durante-800x600.png,Face,,0.095,0.23,800,600,null
,,,0.335,0.578333333,,,
,Face,,0.3525,0.315,800,600,
,,,0.54625,0.606666667,,,
,Face,,0.5575,0.253333333,800,600,
,,,0.79625,0.66,,,
,Face,,0.77,0.186666667,800,600,
,,,0.93625,0.505,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/ff12851b-2d6d-421a-a767-48feea31ea4d___1112.jpg.jpeg,Face,,0.685807151,0.242094862,1000,1096,null
,,,0.786565547,0.433794466,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/ae8ac58d-0d9f-49e9-a83f-9e15e456214f___1179_11_077.jpg.jpeg,Face,,0.289274106,0.269918699,1125,750,null
,,,0.41603467,0.482926829,,,
,Face,,0.175514626,0.552845528,1125,750,
,,,0.299024919,0.725203252,,,
,Face,,0.460455038,0.305691057,1125,750,
,,,0.58071506,0.481300813,,,
,Face,,0.608884074,0.255284553,1125,750,
,,,0.734561213,0.460162602,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/6eef74f9-a23d-4f6e-be7a-aad3b47c6e82___1280x720-5Ws.jpg.jpeg,Face,,0.182015168,0.069364162,1280,720,null
,,,0.269772481,0.250481696,,,
,Face,,0.703141928,0.040462428,1280,720,
,,,0.809317443,0.244701349,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/d8ffacc8-56e5-40b6-ba60-ac6e61654bf1___2001-mothersday-all4smiling.jpeg,Face,,0.301191766,0.51979346,1728,1088,null
,,,0.412784399,0.645438898,,,
,Face,,0.551462622,0.499139415,1728,1088,
,,,0.647887324,0.629948365,,,
,Face,,0.378114843,0.189328744,1728,1088,
,,,0.486457205,0.352839931,,,
,Face,,0.630552546,0.094664372,1728,1088,
,,,0.722643554,0.237521515,,,
,Face,,0.497291441,0.049913941,1728,1088,
,,,0.602383532,0.220309811,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/4940c2b6-d6ad-460d-b788-2579c5439f23___2002_chicago_007.jpg.jpeg,Face,,0.32,0.284153005,550,366,null
,,,0.412727273,0.448087432,,,
,Face,,0.741818182,0.418032787,550,366,
,,,0.812727273,0.538251366,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/21107511-e107-47b2-a51c-50bc4c075ad2___2018-06-19T17-01-31.7Z--1280x720.jpg.jpeg,Face,,0.408450704,0.173410405,1280,720,null
,,,0.564463705,0.412331407,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/42edbc03-3d73-4274-a538-a513c544aee3___2246.jpg.jpeg,Face,,0.39375,0.17370892,640,426,null
,,,0.5296875,0.38028169,,,
,Face,,0.2578125,0.117370892,640,426,
,,,0.3625,0.340375587,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/7344fd47-5495-4770-a009-323a1b54a49e___3263fce5505707d4c21858b5bcea9311.jpg.jpeg,Face,,0.532687651,0.423287671,413,730,null
,,,0.714285714,0.543835616,,,
,Face,,0.498789346,0.754794521,413,730,
,,,0.697336562,0.876712329,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/5f34d8d5-7cc6-46ed-a3a3-bdb286100331___7216f974f6b575985c80d3d70914e3a9.jpg.jpeg,Face,,0.267489712,0.169230769,486,585,null
,,,0.386831276,0.283760684,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/06a49b64-1170-4590-addb-8a67d493675f___7466Nurturing-Families.jpg.jpeg,Face,,0.69875,0.243902439,800,533,null
,,,0.89625,0.559099437,,,
,Face,,0.435,0.217636023,800,533,
,,,0.67125,0.600375235,,,
,Face,,0.195,0.25891182,800,533,
,,,0.41875,0.709193246,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/aad183a7-7054-44c4-873e-2bb77bce9ca6___7849e11f3-1.jpg.jpeg,Face,,0.671875,0.205555556,320,180,null
,,,0.846875,0.511111111,,,
,Face,,0.159375,0.166666667,320,180,
,,,0.2875,0.488888889,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/29e610e6-66b0-41ad-a36d-99bfea9c5cf7___10501_medium.png,Face,,0.423076923,0.024,390,250,null
,,,0.605128205,0.4,,,
,Face,,0.746153846,0.144,390,250,
,,,0.930769231,0.492,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/0b61c2de-be60-4436-b32a-c2b75f7b1376___23181bdffe3e99a98d87cf92cc2d2fff--movie-scenes-funny-funny-movies.jpg.jpeg,Face,,0.181372549,0.421052632,612,570,null
,,,0.35620915,0.58245614,,,
,Face,,0.138888889,0.761403509,612,570,
,,,0.323529412,0.912280702,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/6be2ed18-bf8f-4284-bf99-f4ac4fa7eb19___24861_full.jpg.jpeg,Face,,0.251666667,0.056761269,600,599,null
,,,0.395,0.21869783,,,
,Face,,0.356666667,0.118530885,600,599,
,,,0.495,0.275459098,,,
,Face,,0.616666667,0.125208681,600,599,
,,,0.778333333,0.335559265,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/78dfed3c-0cae-4041-b86c-1364f7ee5f3c___57941e88dd0895057c8b4803-750-312.png,Face,,0.190666667,0.038461538,750,312,null
,,,0.434666667,0.695512821,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/7c5e6b07-1b6a-46f5-a180-f205cc621866___062516_scilife_feat_free.jpg.jpeg,Face,,0.087209302,0.082608696,860,460,null
,,,0.353488372,0.493478261,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/e3a4b6a9-95b1-4d77-9e3b-6a6d545c875c___081312-the-matrix.jpg.jpeg,Face,,0.432258065,0.133333333,620,375,null
,,,0.569354839,0.397333333,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/f76cff4d-4783-4b32-ab41-90bf8e882de3___82542.png,Face,,0.469008264,0.174632353,2400,1350,null
,,,0.662190083,0.553308824,,,
,Face,,0.723140496,0.349264706,2400,1350,
,,,0.840909091,0.615808824,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/428d2ced-ed93-4620-b99c-c89a1b72c2ab___112211_interrogation-2.jpg.jpeg,Face,,0.448504983,0.067024129,602,373,null
,,,0.659468439,0.520107239,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/0ade267e-bd90-4f8f-a010-797ce668afa4___120211_death-2.jpg.jpeg,Face,,0.093023256,0.528,602,375,null
,,,0.34717608,0.912,,,
